TTD,TCAR,RACP,pass_at,SCS,commitment_final,T,config,dataset
52,0.9009009009009009,1.0,1.0,0.8413383068097391,0.7241544541056244,111,TASDF,openworlds-ad-trajectories
47,0.8588235294117647,1.0,1.0,0.8443927076715252,0.7189903378120222,85,TASDF,openworlds-ad-trajectories
32,0.8679245283018868,1.0,1.0,0.8471277473636031,0.7463999171499753,106,TASDF,openworlds-ad-trajectories
45,0.9029126213592233,1.0,1.0,0.8462165488583892,0.7271898406803261,103,TASDF,openworlds-ad-trajectories
51,0.8852459016393442,1.0,1.0,0.8378257663776985,0.6691887257057616,61,TASDF,openworlds-ad-trajectories
48,0.8360655737704918,1.0,1.0,0.8428373506769727,0.6894729782320569,61,TASDF,openworlds-ad-trajectories
44,0.8983050847457628,1.0,1.0,0.844898877875485,0.6644133432514261,59,TASDF,openworlds-ad-trajectories
46,0.9150943396226415,1.0,1.0,0.8462123472618468,0.7519720536180214,106,TASDF,openworlds-ad-trajectories
49,0.8596491228070176,1.0,1.0,0.841052141656907,0.6705183310448735,57,TASDF,openworlds-ad-trajectories
44,0.8383838383838383,1.0,1.0,0.8453076335237284,0.7241723234552662,99,TASDF,openworlds-ad-trajectories
44,0.9029126213592233,0.0,1.0,0.8387722573907747,0.7288867456923718,103,TASDF,openworlds-ad-trajectories
40,0.9090909090909091,1.0,1.0,0.8408956158245388,0.702432260440397,77,TASDF,openworlds-ad-trajectories
38,0.8928571428571429,1.0,1.0,0.836912534659464,0.6735744315498273,56,TASDF,openworlds-ad-trajectories
38,0.8780487804878049,1.0,1.0,0.84299023588171,0.6911663943881045,82,TASDF,openworlds-ad-trajectories
48,0.9152542372881356,1.0,1.0,0.8427482035435901,0.6807188785470756,59,TASDF,openworlds-ad-trajectories
50,0.8913043478260869,1.0,1.0,0.8359046595579558,0.7241688413956684,92,TASDF,openworlds-ad-trajectories
44,0.8620689655172413,1.0,1.0,0.8346793767236819,0.6709354002636903,58,TASDF,openworlds-ad-trajectories
51,0.8793103448275862,1.0,1.0,0.8442874908510428,0.6607362559118038,58,TASDF,openworlds-ad-trajectories
48,0.9242424242424242,1.0,1.0,0.8407275600330739,0.6715658978820056,66,TASDF,openworlds-ad-trajectories
46,0.8804347826086957,1.0,1.0,0.838128609955809,0.7246330260668945,92,TASDF,openworlds-ad-trajectories
53,0.7938144329896907,1.0,1.0,0.8445101300770806,0.748932235830752,97,TASDF,Nemesis-Cyber-Pack
46,0.8518518518518519,1.0,1.0,0.8458445906464315,0.6957623935619837,81,TASDF,Nemesis-Cyber-Pack
32,0.9482758620689655,1.0,1.0,0.8549275399463123,0.6656180255864125,58,TASDF,Nemesis-Cyber-Pack
50,0.896551724137931,1.0,1.0,0.8351770059414276,0.7653070898850108,116,TASDF,Nemesis-Cyber-Pack
43,0.8805970149253731,1.0,1.0,0.8402516519261085,0.6892539111375141,67,TASDF,Nemesis-Cyber-Pack
47,0.9099099099099099,1.0,1.0,0.8424505478497232,0.7444292832847438,111,TASDF,Nemesis-Cyber-Pack
49,0.9666666666666667,1.0,0.6666666666666666,0.8447316010057211,0.6682301431214648,60,TASDF,Nemesis-Cyber-Pack
44,0.875,1.0,1.0,0.8445745816729339,0.6977824714580247,80,TASDF,Nemesis-Cyber-Pack
50,0.8833333333333333,0.0,1.0,0.839794006748582,0.7463682998820735,120,TASDF,Nemesis-Cyber-Pack
44,0.8955223880597015,1.0,1.0,0.8400108864608433,0.7174252066649542,67,TASDF,Nemesis-Cyber-Pack
39,0.8701298701298701,1.0,1.0,0.8420910413571296,0.7122795675890566,77,TASDF,Nemesis-Cyber-Pack
40,0.9310344827586207,1.0,1.0,0.8428784384972309,0.7207273675396596,87,TASDF,Nemesis-Cyber-Pack
38,0.8214285714285714,1.0,1.0,0.8414066742366003,0.676112778299151,56,TASDF,Nemesis-Cyber-Pack
38,0.8556701030927835,1.0,1.0,0.8450918814976567,0.7189639965382617,97,TASDF,Nemesis-Cyber-Pack
48,0.8181818181818182,0.0,1.0,0.8394858792393292,0.6996233191892403,66,TASDF,Nemesis-Cyber-Pack
43,0.8833333333333333,1.0,1.0,0.8385969569666083,0.7488952359694204,120,TASDF,Nemesis-Cyber-Pack
44,0.8514851485148515,1.0,1.0,0.8393926841958674,0.7313781772077649,101,TASDF,Nemesis-Cyber-Pack
42,0.8857142857142857,1.0,1.0,0.8416326853126902,0.7435227778832687,105,TASDF,Nemesis-Cyber-Pack
49,0.8910891089108911,1.0,1.0,0.8403253004594569,0.7282328386410719,101,TASDF,Nemesis-Cyber-Pack
46,0.8783783783783784,1.0,1.0,0.8369319048105193,0.7045392983427153,74,TASDF,Nemesis-Cyber-Pack
53,0.8615384615384616,1.0,1.0,0.8347987843929002,0.6820862552942512,65,TASDF,LANL-auth-flows
47,0.9,1.0,1.0,0.8508722954448674,0.7572456735543889,120,TASDF,LANL-auth-flows
33,0.891566265060241,1.0,1.0,0.8451670058569342,0.6947420234533324,83,TASDF,LANL-auth-flows
47,0.8738738738738738,1.0,1.0,0.8364334700559157,0.7723335126629166,111,TASDF,LANL-auth-flows
43,0.8985507246376812,1.0,1.0,0.8357236808280932,0.6854939603657977,69,TASDF,LANL-auth-flows
49,0.8785046728971962,1.0,1.0,0.8375149283276055,0.7444580865015558,107,TASDF,LANL-auth-flows
51,0.9029126213592233,1.0,1.0,0.8440519572667048,0.727572335746521,103,TASDF,LANL-auth-flows
46,0.8245614035087719,1.0,1.0,0.8509207968748066,0.6689880958298096,57,TASDF,LANL-auth-flows
49,0.8598130841121495,1.0,1.0,0.8370359732157299,0.7568754567892141,107,TASDF,LANL-auth-flows
45,0.8478260869565217,1.0,1.0,0.8375762689261219,0.7087158528129722,92,TASDF,LANL-auth-flows
44,0.8533333333333334,1.0,1.0,0.8364352514004427,0.7020542245870733,75,TASDF,LANL-auth-flows
40,0.819672131147541,1.0,1.0,0.8462343423964795,0.690056153967668,61,TASDF,LANL-auth-flows
37,0.8648648648648649,1.0,1.0,0.8359474704370565,0.6940133482021422,74,TASDF,LANL-auth-flows
38,0.9137931034482759,1.0,1.0,0.840611372195921,0.7431990486622249,116,TASDF,LANL-auth-flows
49,0.8828828828828829,1.0,1.0,0.8397282337166205,0.7517787374989929,111,TASDF,LANL-auth-flows
49,0.8583333333333333,1.0,1.0,0.8399607804908639,0.7537893560743691,120,TASDF,LANL-auth-flows
43,0.8673469387755102,1.0,1.0,0.8333872493156561,0.7307460825887313,98,TASDF,LANL-auth-flows
57,0.8620689655172413,1.0,1.0,0.8351511371672523,0.7313546686399051,87,TASDF,LANL-auth-flows
49,0.828125,1.0,1.0,0.8421371859063291,0.6904811467188314,64,TASDF,LANL-auth-flows
46,0.8472222222222222,1.0,1.0,0.8428651675558172,0.6846452216570749,72,TASDF,LANL-auth-flows
52,0.9019607843137255,1.0,1.0,0.8342686333800223,0.7295367269493218,102,TASDF,GOAD-sample
46,0.9180327868852459,1.0,1.0,0.8405218758105568,0.6845382063496247,61,TASDF,GOAD-sample
35,0.8586956521739131,1.0,1.0,0.8384913857356454,0.7168469221092647,92,TASDF,GOAD-sample
50,0.8923076923076924,0.0,1.0,0.8379626620906004,0.6748833043299673,65,TASDF,GOAD-sample
48,0.881578947368421,1.0,1.0,0.836128357238052,0.6984083528946913,76,TASDF,GOAD-sample
51,0.8974358974358975,1.0,1.0,0.8337833813966372,0.7107544133330074,78,TASDF,GOAD-sample
49,0.9104477611940298,0.0,1.0,0.8445049332728166,0.6870181531155297,67,TASDF,GOAD-sample
